Cluster,Healthy,Inflamed,Non-inflamed
CD4+ Activated Fos-hi,6.859767966985906,3.1786997713165634,5.878775292232837
CD4+ Activated Fos-lo,6.927898466090478,3.0469345529783296,4.545184833560791
CD4+ Memory,9.719302343689169,13.211368833714474,14.365394885183647
CD4+ PD1+,0.14599392665265123,0.32015681149951,0.07120393995134397
CD69+ Mast,1.8103246904928754,2.8215180224327563,3.164125081587848
CD69- Mast,0.116795141322121,0.03266906239790918,0.07862101702960897
CD8+ IELs,2.9627034182044696,0.9343351845802026,1.7741648371209875
CD8+ IL17+,0.19076539749279764,0.26897528040945223,0.21509523526968494
CD8+ LP,7.08557190687534,6.369378198845693,8.078680353646234
Cycling B,0.6501596200264735,1.6824567134923227,0.49249391799679587
Cycling Monocytes,0.3717978665420852,0.08493956223456386,0.12015664866789297
Cycling T,0.2666822393521763,0.2896656865947947,0.2284459740105619
DC1,0.2608424822860702,0.1709680932157247,0.20322791194446094
DC2,1.4385268239507902,0.8591963410650114,1.2801875037085386
Follicular,7.050533364478705,12.849831209844279,8.968729603038035
GC,0.30172078174881256,0.7404987476859414,0.12015664866789297
ILCs,0.2978276103714086,0.20363715561363388,0.2506972052453569
Inflammatory Monocytes,0.23943003971034804,0.9866056844168571,0.9241678039518187
MT-hi,0.4399283656466558,0.10889687465969727,0.17207618821574794
Macrophages,6.97850969399673,7.799194163127518,8.818904646057083
NKs,0.8681772171610993,0.8668191222911903,1.1585474396249926
Plasma,42.976718835163126,39.78002831318741,35.665756838545065
Tregs,2.040021801759713,3.393226614396167,3.4252061947427754
