group,names,scores,logfoldchanges,pvals,pvals_adj
CD4+ Memory,RPS27,176.86609,1.4982221,0.0,0.0
CD4+ Memory,RPL32,173.64404,1.1977029,0.0,0.0
CD4+ Memory,RPS15A,171.0655,1.2415053,0.0,0.0
CD4+ Memory,RPL31,168.41475,1.4968339,0.0,0.0
CD4+ Memory,RPS12,168.10646,1.3897455,0.0,0.0
CD4+ Memory,EEF1A1,167.80496,1.1647179,0.0,0.0
CD4+ Memory,RPS6,167.34735,1.095348,0.0,0.0
CD4+ Memory,RPL13,167.00972,0.94155705,0.0,0.0
CD8+ LP,CCL5,176.47675,6.13753,0.0,0.0
CD8+ LP,NKG7,144.50963,5.7808166,0.0,0.0
CD8+ LP,B2M,139.67886,1.1834372,0.0,0.0
CD8+ LP,IL32,129.94545,3.5995984,0.0,0.0
CD8+ LP,HLA-A,129.94458,2.056217,0.0,0.0
CD8+ LP,GZMA,127.14827,5.150232,0.0,0.0
CD8+ LP,CST7,113.93008,4.333124,0.0,0.0
CD8+ LP,CD3D,110.85122,3.01056,0.0,0.0
CD69+ Mast,TPSAB1,125.46866,12.368567,0.0,0.0
CD69+ Mast,FTH1,110.423485,2.9842727,0.0,0.0
CD69+ Mast,H3F3B,92.57184,1.973211,0.0,0.0
CD69+ Mast,ANXA1,91.06442,4.4514303,0.0,0.0
CD69+ Mast,CPA3,87.81255,9.473523,0.0,0.0
CD69+ Mast,HPGDS,80.63895,9.827418,0.0,0.0
CD69+ Mast,PTMA,79.51745,1.3358359,0.0,0.0
CD69+ Mast,SRGN,76.06794,2.1778672,0.0,0.0
Macrophages,FTL,200.47035,3.5701451,0.0,0.0
Macrophages,CST3,187.14409,6.2236476,0.0,0.0
Macrophages,TYROBP,185.13133,6.446268,0.0,0.0
Macrophages,LYZ,184.75911,7.5626864,0.0,0.0
Macrophages,AIF1,176.90462,6.500232,0.0,0.0
Macrophages,FTH1,165.93427,2.5083508,0.0,0.0
Macrophages,HLA-DRA,163.43333,4.966283,0.0,0.0
Macrophages,FCER1G,157.0986,5.486091,0.0,0.0
Plasma,SSR4,360.07108,4.274996,0.0,0.0
Plasma,MZB1,356.05814,6.1645155,0.0,0.0
Plasma,IGJ,354.82132,7.0103707,0.0,0.0
Plasma,IGHA1,319.39874,6.2080555,0.0,0.0
Plasma,DERL3,308.8167,6.2217703,0.0,0.0
Plasma,HERPUD1,286.72394,3.4474,0.0,0.0
Plasma,XBP1,284.51642,3.8651292,0.0,0.0
Plasma,IGKC,282.00253,5.4479294,0.0,0.0
Tregs,IL32,103.4175,4.2721786,0.0,0.0
Tregs,B2M,86.15525,1.0893523,0.0,0.0
Tregs,CD3D,85.40589,3.2998233,0.0,0.0
Tregs,TRAC,85.153915,3.3026218,0.0,0.0
Tregs,HLA-A,78.10767,1.8632818,0.0,0.0
Tregs,TRBC2,76.69562,3.0909383,0.0,0.0
Tregs,SRGN,73.67667,1.9421413,0.0,0.0
Tregs,CD7,68.70796,3.0513813,0.0,0.0
